Probe_Set_ID,DF_121,DF_129,DF_164,DF_171,DF_243,DF_310,DF_330,DF_331
AFFX-BioDn-3_at,8.360936963,8.317180057,8.306546231,8.218247927,8.075364884,7.924578892,8.378643514,8.214708769
AFFX-CreX-5_at,8.900944247,8.877535403,8.829958044,8.818940878,8.638419182,8.509503703,8.908261833,8.752360171
AFFX-CreX-3_at,9.309905125,9.233118959,9.250387666,9.178436823,9.024263774,8.906257878,9.351023629,9.109790489
AFFX-DapX-M_at,6.919288515,6.312279126,6.93439721,5.18178355,5.232711609,6.228313745,6.289715571,5.464255444
AFFX-DapX-3_at,8.44500952,8.007133941,8.823854022,6.704414355,6.891320973,7.648549113,8.155620559,7.126248032
AFFX-LysX-3_at,7.454488441,7.120686865,7.755424499,5.917818007,6.18929029,6.69034526,7.189243207,6.393757964
AFFX-PheX-M_at,6.378426184,6.109914027,6.899622296,4.785823686,5.136974216,5.710095837,5.906451173,5.231643233
AFFX-PheX-3_at,7.173575105,7.039397388,7.802577196,5.724565014,6.043345169,6.605703793,7.004246579,6.153583397
AFFX-ThrX-3_at,7.319666235,6.695056986,7.814924536,5.602118821,5.674353664,6.343704672,6.782645468,5.839769184
AFFX-r2-Ec-bioD-5_at,8.318376332,8.170666579,8.35250721,8.226225728,8.072217728,7.879896904,8.336174785,8.058232365
AFFX-r2-Ec-bioD-3_at,8.613811606,8.550453871,8.566040497,8.469787069,8.268398443,8.238880423,8.615408239,8.31571328
AFFX-r2-P1-cre-5_at,9.546326776,9.498079943,9.539910271,9.493411832,9.348109025,9.208689009,9.561546389,9.220904376
AFFX-r2-P1-cre-3_at,9.760234774,9.628438677,9.774295304,9.737049187,9.541369249,9.418370285,9.654558135,9.456676875
AFFX-r2-Bs-dap-M_at,7.173345105,6.630947203,7.436558336,5.51504035,5.671259283,6.500388364,6.655054175,5.90345267
AFFX-r2-Bs-dap-3_at,8.609571806,8.262352553,8.916452416,7.083807223,7.157112237,7.721259956,8.36469448,7.351799869
AFFX-r2-Bs-lys-3_at,6.734710559,6.221980853,7.01723729,4.964242255,5.283711214,6.071199515,6.463965057,5.643324506
AFFX-r2-Bs-phe-M_at,6.532625371,6.160363084,7.15007381,4.852811209,4.971894466,5.93462961,6.027796476,5.210032452
AFFX-r2-Bs-phe-3_at,7.617956214,7.660585462,8.190104789,6.044531268,6.680478196,6.766997841,7.418240845,6.530440214
AFFX-r2-Bs-thr-3_s_at,7.715034394,7.065015405,8.188161207,5.817408735,6.008075813,6.677335319,7.224826236,6.230087669
AFFX-HUMISGF3A/M97935_3_at,8.22008012,7.174571159,8.444127753,8.271599511,7.674710387,8.438496244,8.361848466,8.37346138
AFFX-HUMRGE/M10098_5_at,9.214332393,8.949585811,9.118268942,9.374353684,8.830294442,9.39877653,8.270576284,8.546266439
AFFX-HUMRGE/M10098_M_at,8.804370136,8.663179202,8.665182069,9.016403619,8.631646244,8.811398938,7.589436981,8.167011407
AFFX-HUMRGE/M10098_3_at,9.294414941,9.171329237,9.255055578,9.158267827,9.070940364,9.196403706,8.487063826,8.980763672
AFFX-HUMGAPDH/M33197_5_at,7.526986777,8.664491878,7.633418051,8.346879254,8.562262155,8.248529125,8.143081391,7.478508811
AFFX-HUMGAPDH/M33197_M_at,8.46465702,9.22057779,8.713253274,8.973782246,9.104890963,8.872641383,8.966994113,8.055951068
AFFX-HUMGAPDH/M33197_3_at,9.185699258,9.588680913,9.381019417,9.424967764,9.52352936,9.16994537,9.537079683,8.790329992
AFFX-HSAC07/X00351_M_at,7.295599378,7.724888439,7.668000203,7.675963549,7.892564103,7.619724214,7.79683924,7.334525154
AFFX-HSAC07/X00351_3_at,9.630437902,9.525953709,9.728205163,9.62677839,9.476704319,9.268731914,9.563739958,9.291846624
AFFX-M27830_5_at,8.86208701,8.846381824,8.46398227,8.612757884,8.416997095,8.794840079,8.083297744,8.589699882
AFFX-hum_alu_at,9.825725991,9.641707118,9.892699571,9.780370315,9.656493066,9.559827546,9.675858958,9.290795302
1405_i_at,7.88641969,9.221359438,7.893646698,7.736874621,8.53032657,7.101511213,8.297568442,8.75606835
200002_at,8.465752518,8.835225015,8.696259455,8.397215249,8.399647628,8.340432146,8.506799362,8.260983946
200003_s_at,9.569789464,9.438789822,9.71877113,9.290610746,9.34593713,9.31164166,9.569272766,9.230927006
200004_at,8.464593781,9.233959238,8.89094745,8.737051352,8.784361284,8.520926215,8.719595115,8.772052441
200006_at,9.009129531,9.426886206,9.122055457,9.214083358,9.233373071,9.01833205,9.12732826,8.857685907
200007_at,8.184541647,8.499314313,8.314342343,8.538856831,8.460093599,8.338520968,8.395500021,8.233901467
200009_at,8.732288442,8.790969019,8.947012644,8.656520257,8.831186079,8.553139318,8.871673729,8.082031472
200010_at,8.089114308,8.689430742,8.67626318,8.201440808,8.501917104,8.345787836,8.782921024,8.427312247
200012_x_at,8.583093285,8.986559117,9.174516284,8.717649318,8.842012076,8.601754904,8.856717907,8.533971643
200013_at,7.907357217,8.368600371,8.208981828,8.380273207,8.334207414,8.401041325,8.327556947,8.157571052
200014_s_at,8.024600336,8.534384569,8.193510815,8.102556149,8.382014729,8.082464038,7.892153157,8.185684615
200015_s_at,8.330019884,8.538093256,8.407177412,8.461701623,8.534109304,8.421012633,8.367300102,8.632662441
200016_x_at,9.321103268,9.55917869,9.526529723,9.671984155,9.563142828,9.41524663,9.34145635,9.354709078
200017_at,7.639449869,8.854536477,9.113631214,7.952404045,8.699181359,8.186408749,8.548459273,7.928333952
200018_at,9.434938864,9.491941493,9.69663557,9.439625028,9.433291905,9.299769657,9.548404198,9.181920321
