Probe_Set_ID,DHF_102,DHF_111,DHF_125,DHF_128,DHF_145,DHF_165,DHF_206,DHF_235,DHF_277,DHF_307
AFFX-BioDn-3_at,7.948526568,8.244465411,8.63776345,8.457910169,7.317146005,7.448450336,8.122341561,7.209710011,8.075738146,7.989831599
AFFX-CreX-5_at,8.487723185,8.795294515,9.253878674,9.093312051,7.816497593,7.894057031,8.693194819,7.669821995,8.603187385,8.510168576
AFFX-CreX-3_at,8.859832089,9.151884646,9.61033052,9.406737403,8.326032686,8.515631973,9.082279702,8.305854686,9.026429553,8.924563151
AFFX-DapX-M_at,5.442850517,5.396351107,7.968527235,7.474828902,6.3982621,6.889693136,4.949468859,6.280021237,5.298817242,5.421861553
AFFX-DapX-3_at,7.070214207,7.105704092,9.641785069,9.145940508,7.77346825,8.206092361,6.59208517,7.749063811,6.711375365,6.857093364
AFFX-LysX-3_at,6.314634412,6.319508508,8.96534735,8.254866926,6.833031733,7.230852757,5.986200717,6.859195088,6.027072975,6.022478601
AFFX-PheX-M_at,5.197391448,5.033700567,8.279088275,7.605989499,6.066803904,6.483413115,4.528289142,5.969474529,4.797442074,5.05305601
AFFX-PheX-3_at,5.857647399,6.093344011,9.140432797,8.420528094,6.490268196,6.931374145,5.624017506,6.374684046,5.741720314,5.859645972
AFFX-ThrX-3_at,5.641907071,5.823933076,8.985870942,8.253670256,6.658011046,7.017954071,5.301811256,6.464899782,5.263208189,5.663654684
AFFX-r2-Ec-bioD-5_at,7.905589131,8.179592318,8.567277756,8.409697064,7.215975003,7.338173128,8.028520372,7.10701589,7.963599236,7.908203319
AFFX-r2-Ec-bioD-3_at,8.217060599,8.467498618,8.967185422,8.677320263,7.566414529,7.610357618,8.389746109,7.442785591,8.346760679,8.165079259
AFFX-r2-P1-cre-5_at,9.273277612,9.443426333,9.874305879,9.559820495,8.582999658,8.694619452,9.355894205,8.616495392,9.320315225,9.248358439
AFFX-r2-P1-cre-3_at,9.360035426,9.637906119,10.02952972,9.656281815,8.728426092,8.824148339,9.544237868,8.681028254,9.515049164,9.436479432
AFFX-r2-Bs-dap-M_at,5.823637436,5.65459223,8.217357563,7.933761032,6.633713092,7.181667987,5.272486607,6.496925808,5.661570626,5.65178718
AFFX-r2-Bs-dap-3_at,7.33778291,7.441144421,9.656435456,9.210500359,7.999611463,8.345716615,6.641443232,8.034663437,6.773080376,7.304381438
AFFX-r2-Bs-lys-3_at,5.397257314,5.625099953,8.313778735,7.572811579,6.129268051,6.550079835,4.863680881,6.104793232,5.169346985,5.080161357
AFFX-r2-Bs-phe-M_at,5.12455904,5.252796851,8.260079121,7.675174704,6.000919706,6.582440565,4.405498991,5.924790414,4.825910853,4.920710587
AFFX-r2-Bs-phe-3_at,6.833570381,6.775366091,9.401390391,8.709316553,7.321849714,7.725285887,6.236565266,7.093404626,6.575215301,6.583409222
AFFX-r2-Bs-thr-3_s_at,6.2599638,6.412474867,9.29796656,8.633570795,7.008957159,7.392216393,5.83305481,6.933812813,5.805737197,6.119417911
AFFX-HUMISGF3A/M97935_3_at,7.257707677,7.552762084,7.364990235,7.722544706,7.508403325,7.978345251,7.7798015,7.971707107,7.476868679,7.853371776
AFFX-HUMRGE/M10098_5_at,9.489508806,8.777046614,9.635627715,9.444028137,8.806409087,8.773291713,8.800219442,8.754050281,8.475579217,8.846496939
AFFX-HUMRGE/M10098_M_at,9.174298601,8.541436923,8.887279796,8.895369319,8.477578801,8.386104527,8.417417054,8.611848611,8.006367568,8.561344039
AFFX-HUMRGE/M10098_3_at,9.41090288,9.146942533,9.013777893,9.000964115,8.836054112,8.790786481,9.138608037,8.938662874,9.084187406,9.064944589
AFFX-HUMGAPDH/M33197_5_at,8.299957156,8.449406735,8.333967226,7.735083641,8.51061158,8.03676744,8.838537287,8.563828655,8.53666243,8.268731832
AFFX-HUMGAPDH/M33197_M_at,8.943636706,8.992296296,9.362992787,8.819428845,8.760923376,8.501957719,9.224598244,8.780510847,8.996032669,8.870339919
AFFX-HUMGAPDH/M33197_3_at,9.393378339,9.517825072,9.95038068,9.48438234,8.948339042,8.914249713,9.581952203,8.99745651,9.332593402,9.322748991
AFFX-HSAC07/X00351_M_at,7.893385489,7.765611489,7.427738841,7.128094903,7.838658723,7.503234502,7.884501207,7.951066252,7.635255576,7.465827018
AFFX-HSAC07/X00351_3_at,9.473926966,9.571358869,9.231886576,8.911772598,8.922058119,8.947975108,9.51426728,9.006999448,9.381895849,9.353279869
AFFX-M27830_5_at,9.118608781,8.908045382,8.862908295,8.568399482,8.576593535,8.450967915,8.634922892,8.686260633,8.609006355,8.566040497
AFFX-hum_alu_at,9.651243406,9.707636889,10.12240619,9.653531487,8.886492117,8.911678239,9.684927232,8.94009211,9.593948344,9.6154054
1405_i_at,8.666147537,8.268424092,8.216439388,7.666643383,8.031385331,8.07673283,7.929270517,7.558933975,8.194560742,7.864880805
200002_at,8.504513138,8.599675997,9.075299269,8.585244286,8.378574595,8.279240524,8.447478631,8.378597569,8.269090742,8.41900688
200003_s_at,9.323427957,9.389130701,10.14076278,9.660957287,9.034795799,9.157308725,9.249445694,9.076008659,9.114137794,9.124717122
200004_at,8.966471017,8.85546381,9.202479557,9.003242399,8.632323824,8.483160597,8.960929844,8.706887503,8.915459114,8.676467864
200006_at,9.248377693,9.287255116,9.489418032,9.126969633,8.888770541,8.791318789,9.392453574,8.93087776,9.193214559,9.070020274
200007_at,8.684028791,8.523175263,8.559811971,8.385876487,8.282837013,8.161631913,8.611939576,8.323826865,8.446899474,8.314170844
200009_at,8.618232384,8.573346656,9.082200135,8.35791606,8.44634145,8.39260455,8.800987717,8.478140464,8.652807413,8.614102093
200010_at,8.612467007,8.652667695,8.822101045,8.49236757,8.370130665,8.29404964,8.304371189,8.6083493,8.28114169,8.367996885
200012_x_at,9.000187081,8.965283467,9.459923302,8.983740856,8.545877825,8.53196357,8.852779321,8.696510239,8.882558267,8.764006393
200013_at,8.566592694,8.586663282,8.253071383,8.020106094,8.265341476,8.075395994,8.461278709,8.197511206,8.430327258,8.327460238
200014_s_at,8.290142015,8.347187482,8.190964312,8.102041318,8.057820849,7.778169598,8.482125443,8.194671196,8.306225216,8.233689046
200015_s_at,8.681147091,8.559083415,8.197015475,8.251063848,8.471442404,8.285109799,8.781801091,8.521344563,8.679771119,8.573195382
200016_x_at,9.588811054,9.657318436,9.606017736,9.376083598,8.952954694,8.959581504,9.59087734,8.983715769,9.520079881,9.565297842
200017_at,8.954505743,8.944785021,9.392428568,9.073535054,8.707565586,8.556490825,8.599454974,8.703191315,8.410520704,8.454721865
200018_at,9.396463029,9.535217068,9.858945104,9.553114141,8.983201349,9.020039061,9.476344159,9.025094544,9.428294481,9.339832367
200019_s_at,9.573843948,9.639951602,9.8597603,9.433315909,9.110674721,9.091635662,9.518317597,9.204644179,9.503136844,9.476298172
200020_at,7.959241019,7.949162094,7.602700841,7.134651779,7.791109511,7.579474512,7.928442062,7.727843433,7.987320655,8.010425988
200021_at,9.258768566,9.244761122,9.887541081,9.415564322,8.673427413,8.677218013,9.319185808,8.623047585,9.177693206,9.097149277
200022_at,8.869524716,8.970635435,9.545561827,9.02069204,8.645357708,8.59556065,8.879193928,8.751553598,8.661103041,8.790025551
200023_s_at,8.526588913,8.585898021,8.985933523,8.977727124,8.608732635,8.595320219,8.547159678,8.592411975,8.599510234,8.456657316
200024_at,8.861973676,8.989469237,9.561032454,9.031464871,8.685703139,8.400524535,8.98677173,8.643843463,8.785768894,8.730803445
200025_s_at,9.449994864,9.473143002,9.86951186,9.49180566,8.988820502,8.942382492,9.390885352,9.008811531,9.340385695,9.292298168
200026_at,9.420252776,9.419628377,9.846123235,9.266465474,8.782476269,8.762379995,9.45581668,8.6728456,9.304140321,9.340965044
200027_at,8.115311655,8.270243509,8.940157623,8.693245135,8.247246251,8.301199022,8.375583543,8.403217897,8.142674272,8.166699107
200028_s_at,8.508959386,8.415714022,8.133998252,7.94944442,8.271497236,7.985756614,8.632502058,8.147201399,8.501592125,8.375445278
200029_at,9.010559281,9.122590541,9.564105085,9.151089182,8.759856977,8.622705696,8.950001056,8.805210208,8.822204246,8.865241029
200030_s_at,8.772439878,8.768543175,8.703705953,8.329658068,8.563332225,8.199903782,8.89050694,8.465204919,8.728361323,8.703871909
200031_s_at,9.617044712,9.594357099,10.03997894,9.652568046,9.095479313,9.126991371,9.522249095,9.179757445,9.600353376,9.459525869
200032_s_at,9.651687292,9.733523328,9.519316606,9.134646528,8.877814339,9.046078748,9.480688068,9.020389788,9.351371074,9.358596571
200033_at,8.900508119,8.921884667,8.615462625,8.875245187,8.663766665,8.612630636,8.855050183,8.676041392,9.043269924,8.991151491
200034_s_at,9.169955782,9.241625838,9.476688996,9.209530044,8.804625233,8.74932027,9.167161435,8.853379673,9.125990904,9.009936308
200036_s_at,8.337899047,8.303480034,9.13712431,8.651898894,8.168174577,7.866070482,8.16043253,8.227455675,8.000416562,8.020533423
200037_s_at,8.708705715,8.767889651,9.087019531,8.88316875,8.322029527,8.393962846,8.87090174,8.617273793,8.81846747,8.700630792
200038_s_at,9.307085885,9.382460066,9.734447406,9.369342123,8.88698967,8.824530822,9.35802735,8.976691836,9.301934565,9.198156449
200039_s_at,8.082278675,8.064762254,9.037426425,8.421628979,8.114893069,7.840667112,8.424748901,8.268013626,7.987626377,7.731755268
200040_at,8.175997818,8.397914037,8.902591637,8.570980373,8.017472347,7.665519103,8.469136758,8.311693075,8.071593353,8.149312844
200043_at,8.643438102,8.71141038,7.442844155,7.130338673,8.45495602,8.090524876,8.695372849,8.612739707,8.820743692,8.477058461
200044_at,8.136401184,8.105760312,7.588475565,7.221397453,7.911177381,7.628614898,8.365067127,7.99638457,8.146940775,7.997797617
200046_at,7.84842638,8.055570345,8.263487335,7.769547586,8.078564191,7.548714028,8.397260347,7.987626377,8.504189002,8.060003117
200047_s_at,8.294724412,8.49263407,9.025130648,8.285815835,8.198996927,7.985790641,8.60294878,8.225395997,8.327967858,8.359228581
200048_s_at,8.951789826,9.042962599,9.478495529,9.091241471,8.699631408,8.658206524,9.054282875,8.764724919,8.872080539,8.717878432
200055_at,7.493539941,7.658180311,8.093034441,7.558412408,7.522724678,7.455356321,7.565689704,7.578145472,7.308073833,7.205932089
200057_s_at,8.556317746,8.473554734,8.5771211,8.312895928,8.225770799,8.087578823,8.596392467,8.302166608,8.508313887,8.527717615
200059_s_at,8.515712095,8.524863698,8.453678146,8.273055804,8.416112394,8.301074905,8.766222789,8.57035474,8.63570485,8.733207389
200061_s_at,8.757170261,8.90978918,8.936008784,8.614537664,8.354744848,8.186714955,8.76164412,8.448485993,8.884208489,8.446148216
200062_s_at,9.514702555,9.585380636,9.358053231,9.232874559,8.963339484,8.954751105,9.444400124,9.040713891,9.457341065,9.482845353
200063_s_at,9.000298123,9.21986487,9.566419138,9.152372219,8.577930748,8.573138648,9.128197126,8.618521589,8.989756043,8.991313336
200065_s_at,8.051085961,8.07530266,8.15340731,7.665987706,8.109134723,7.940761811,8.260803046,8.043470656,8.113696145,8.087732478
200067_x_at,8.461786184,8.620399388,8.497928819,8.264878263,8.277742397,8.427049642,8.731465509,8.379814407,8.552676159,8.487537785
200068_s_at,8.543153293,8.436742067,8.972717499,8.44790742,8.508979552,8.0182632,8.937573184,8.369852604,8.874713778,8.554064994
200072_s_at,7.946688332,7.984871507,7.711101252,7.619282507,7.81452079,7.474204806,8.151621647,7.751088146,7.968423373,7.977487868
200073_s_at,8.241571433,8.463771317,8.81651229,8.661051082,8.255022908,8.002627248,8.571776069,8.103373279,8.288886333,8.264054243
200074_s_at,8.847460503,8.970432074,8.686480166,8.516793111,8.492716056,8.423387879,8.84039201,8.555066844,8.845474834,8.925893062
200077_s_at,9.077254594,9.127578136,9.497344715,9.087426697,8.712644837,8.708457971,9.140153931,8.758113791,9.140486416,9.034557392
200080_s_at,9.075722675,9.128913373,9.545397322,9.294479294,8.706357947,8.666784924,9.153336064,8.757642137,9.075585374,8.943075117
200081_s_at,9.465509583,9.482479781,8.450946546,8.55111141,8.801469471,8.738158372,9.361394835,8.777986993,9.340051978,9.292823177
200085_s_at,7.285369459,7.451822237,7.943960108,7.420578905,7.461180516,7.386594757,7.374691709,7.455009259,7.235114691,6.968379901
200086_s_at,8.31102966,8.455721961,8.539971778,8.351067766,8.093828843,8.195388853,8.371797409,8.141335428,8.201824696,8.027019507
200087_s_at,8.39568071,8.450326629,8.225851096,7.999779246,8.215466284,7.906031446,8.632662441,8.044850829,8.608111925,8.159632141
200088_x_at,9.369265351,9.452376333,9.710388123,9.277625119,8.976186428,8.952475968,9.340736856,9.002208578,9.188452572,9.307076807
200089_s_at,9.11224231,9.115469096,9.658813883,9.481115321,8.787647718,8.88055771,9.10160751,8.838203651,8.934652744,8.844927362
200090_at,8.71098208,8.75490215,8.261164813,8.446985296,8.395138545,8.555856057,8.648712561,8.640206967,8.709052453,8.713220395
200091_s_at,9.008823763,9.15004882,9.224450356,9.109602489,8.666716036,8.701346403,8.910693675,8.707615184,9.009092844,8.926132258
200092_s_at,9.368411927,9.460600912,9.778479731,9.39666225,8.861633598,8.798786767,9.479282952,8.94009211,9.228632054,9.341701912
200093_s_at,7.950678662,8.051340933,8.264389083,7.771783826,7.843691763,7.53369371,8.019579899,7.952650285,7.9423267,7.75439578
200094_s_at,7.961927926,7.963912296,9.077494459,8.553216491,7.671454115,7.63346645,7.774939797,7.777918299,7.556950572,7.609911754
200095_x_at,9.576038484,9.643297423,10.07477765,9.655436366,9.054201049,9.111591286,9.504672782,9.1436021,9.469345154,9.46445532
200096_s_at,7.599050746,7.625741403,7.215092909,7.204000582,7.75645216,7.906436729,7.906473565,8.134232939,7.98480339,7.922007219
200097_s_at,8.127050099,8.072841714,6.912643313,7.657235533,7.802781516,7.853255237,8.002928327,7.868981135,7.993890046,8.12699101
200098_s_at,7.978619458,8.071405964,8.995140188,8.438496244,8.11993432,7.967903901,8.3171312,8.11015685,8.32777451,8.116805173
200099_s_at,9.181940897,9.264800148,9.410149788,9.103200496,8.970139671,8.727210976,9.122011764,8.892006634,9.087381465,9.06011033
200594_x_at,8.254190723,8.196987927,7.76662874,7.737834314,8.004131737,7.755338813,8.275580124,8.180404905,8.242861603,8.290091818
200598_s_at,7.537696384,5.992963423,7.180831199,7.194211601,6.729585093,7.682758906,6.840011627,6.544199574,8.40198434,7.193986299
200599_s_at,8.446019372,8.419844936,8.901053249,8.775827431,8.593857892,8.159002814,8.827629413,8.51002758,8.96684104,8.419028943
200600_at,8.650604577,8.626477997,7.669495251,7.690286021,8.137863557,8.141277177,8.557048319,8.231056591,8.518412448,8.409452067
200610_s_at,8.057694195,8.010093949,8.225208543,7.764593202,8.08862321,7.668748006,8.086164091,8.28468089,7.593223048,7.81197343
200614_at,7.881333305,7.860879261,8.403688491,8.076266695,8.07530266,7.83605363,8.063661158,8.014236526,7.845416037,7.816376677
200625_s_at,8.273668345,8.225208543,8.344409999,8.141481041,8.165960554,7.910663977,8.437457103,8.208682365,8.127729377,8.070093259
200627_at,8.189105704,8.304544377,8.397440718,8.251403065,8.225851096,8.009097172,8.472237666,8.346333694,8.15570669,8.219487719
200628_s_at,5.520660598,5.712081277,6.550508743,6.326507191,6.586998899,5.942011663,6.847580556,7.060132959,6.335231541,6.181671598
200629_at,7.53977146,7.793710507,7.991321609,8.104824307,8.096177802,7.953072271,8.205846644,8.542724477,7.623446424,7.690011635
200630_x_at,8.019908803,7.992437662,9.095142741,8.351846739,7.790530592,7.517357794,8.031677876,7.557472902,7.627690436,7.814278463
