Probe_Set_ID,DHF_102,DHF_111,DF_121,DHF_125,DHF_128,DF_129,DHF_145,DF_164,DHF_165,DF_171,ND_195,ND_199,DHF_206,ND_216,DHF_235,ND_237,ND_239,DF_243,ND_251,ND_269,DHF_277,DHF_307,DF_310,ND_317,DF_330,DF_331
AFFX-BioDn-3_at,7.948526568,8.244465411,8.360936963,8.63776345,8.457910169,8.317180057,7.317146005,8.306546231,7.448450336,8.218247927,8.37357683,7.850064573,8.122341561,7.92746865,7.209710011,8.478473153,7.375569012,8.075364884,8.926650321,8.526767214,8.075738146,7.989831599,7.924578892,7.604197026,8.378643514,8.214708769
AFFX-CreX-5_at,8.487723185,8.795294515,8.900944247,9.253878674,9.093312051,8.877535403,7.816497593,8.829958044,7.894057031,8.818940878,9.006300674,8.349271458,8.693194819,8.433180949,7.669821995,8.981304495,7.900266037,8.638419182,9.500596628,9.06817755,8.603187385,8.510168576,8.509503703,8.076049091,8.908261833,8.752360171
AFFX-CreX-3_at,8.859832089,9.151884646,9.309905125,9.61033052,9.406737403,9.233118959,8.326032686,9.250387666,8.515631973,9.178436823,9.335394685,8.803769653,9.082279702,8.853022364,8.305854686,9.329109588,8.430850682,9.024263774,9.845413425,9.4719736,9.026429553,8.924563151,8.906257878,8.565907162,9.351023629,9.109790489
AFFX-DapX-M_at,5.442850517,5.396351107,6.919288515,7.968527235,7.474828902,6.312279126,6.3982621,6.93439721,6.889693136,5.18178355,6.781284615,7.574815125,4.949468859,6.517375808,6.280021237,7.648263031,7.031122693,5.232711609,7.326597184,6.423409288,5.298817242,5.421861553,6.228313745,5.385870264,6.289715571,5.464255444
AFFX-DapX-3_at,7.070214207,7.105704092,8.44500952,9.641785069,9.145940508,8.007133941,7.77346825,8.823854022,8.206092361,6.704414355,8.231988049,9.093514378,6.59208517,8.178442361,7.749063811,9.352820356,8.345217927,6.891320973,9.046031606,8.854136746,6.711375365,6.857093364,7.648549113,6.607190581,8.155620559,7.126248032
AFFX-LysX-3_at,6.314634412,6.319508508,7.454488441,8.96534735,8.254866926,7.120686865,6.833031733,7.755424499,7.230852757,5.917818007,7.2382813,8.622939633,5.986200717,6.937216989,6.859195088,8.603976209,7.364800307,6.18929029,8.040350227,7.696621647,6.027072975,6.022478601,6.69034526,5.811140993,7.189243207,6.393757964
AFFX-PheX-M_at,5.197391448,5.033700567,6.378426184,8.279088275,7.605989499,6.109914027,6.066803904,6.899622296,6.483413115,4.785823686,6.26206404,7.98074202,4.528289142,6.059123196,5.969474529,8.058042456,6.862339415,5.136974216,7.043247248,6.597827598,4.797442074,5.05305601,5.710095837,4.775756487,5.906451173,5.231643233
AFFX-PheX-3_at,5.857647399,6.093344011,7.173575105,9.140432797,8.420528094,7.039397388,6.490268196,7.802577196,6.931374145,5.724565014,7.076738271,8.668144473,5.624017506,6.679724806,6.374684046,8.886298557,7.347686224,6.043345169,7.954969005,7.493484273,5.741720314,5.859645972,6.605703793,5.48438191,7.004246579,6.153583397
AFFX-ThrX-3_at,5.641907071,5.823933076,7.319666235,8.985870942,8.253670256,6.695056986,6.658011046,7.814924536,7.017954071,5.602118821,7.143301597,8.560041931,5.301811256,7.015263487,6.464899782,8.762176509,7.339083047,5.674353664,7.821763408,7.635786861,5.263208189,5.663654684,6.343704672,5.110178924,6.782645468,5.839769184
AFFX-r2-Ec-bioD-5_at,7.905589131,8.179592318,8.318376332,8.567277756,8.409697064,8.170666579,7.215975003,8.35250721,7.338173128,8.226225728,8.25426877,7.838619303,8.028520372,7.832410927,7.10701589,8.510692105,7.261786732,8.072217728,8.897190053,8.41690866,7.963599236,7.908203319,7.879896904,7.560601163,8.336174785,8.058232365
AFFX-r2-Ec-bioD-3_at,8.217060599,8.467498618,8.613811606,8.967185422,8.677320263,8.550453871,7.566414529,8.566040497,7.610357618,8.469787069,8.5668211,8.14786713,8.389746109,8.209090701,7.442785591,8.717321922,7.572708725,8.268398443,9.14969825,8.625024652,8.346760679,8.165079259,8.238880423,7.784847697,8.615408239,8.31571328
AFFX-r2-P1-cre-5_at,9.273277612,9.443426333,9.546326776,9.874305879,9.559820495,9.498079943,8.582999658,9.539910271,8.694619452,9.493411832,9.522263736,9.207295742,9.355894205,9.169882894,8.616495392,9.683507741,8.684198044,9.348109025,10.16854051,9.777646513,9.320315225,9.248358439,9.208689009,8.880029117,9.561546389,9.220904376
AFFX-r2-P1-cre-3_at,9.360035426,9.637906119,9.760234774,10.02952972,9.656281815,9.628438677,8.728426092,9.774295304,8.824148339,9.737049187,9.697956732,9.434491416,9.544237868,9.378233335,8.681028254,9.958226653,8.886796207,9.541369249,10.3140397,9.868005442,9.515049164,9.436479432,9.418370285,9.146025826,9.654558135,9.456676875
AFFX-r2-Bs-dap-M_at,5.823637436,5.65459223,7.173345105,8.217357563,7.933761032,6.630947203,6.633713092,7.436558336,7.181667987,5.51504035,7.061763091,7.863843481,5.272486607,6.775251929,6.496925808,8.029823644,7.282829906,5.671259283,7.551869766,6.749111186,5.661570626,5.65178718,6.500388364,5.548686904,6.655054175,5.90345267
AFFX-r2-Bs-dap-3_at,7.33778291,7.441144421,8.609571806,9.656435456,9.210500359,8.262352553,7.999611463,8.916452416,8.345716615,7.083807223,8.394573478,9.145599164,6.641443232,8.390109539,8.034663437,9.418873712,8.409429791,7.157112237,9.25308372,9.0556262,6.773080376,7.304381438,7.721259956,6.794586581,8.36469448,7.351799869
AFFX-r2-Bs-lys-3_at,5.397257314,5.625099953,6.734710559,8.313778735,7.572811579,6.221980853,6.129268051,7.01723729,6.550079835,4.964242255,6.475278622,7.864804003,4.863680881,6.330255522,6.104793232,7.929666493,6.820234681,5.283711214,7.366192272,6.651313442,5.169346985,5.080161357,6.071199515,4.81866736,6.463965057,5.643324506
AFFX-r2-Bs-phe-M_at,5.12455904,5.252796851,6.532625371,8.260079121,7.675174704,6.160363084,6.000919706,7.15007381,6.582440565,4.852811209,6.420157781,7.976973085,4.405498991,6.103005922,5.924790414,8.072248937,6.851925394,4.971894466,7.133216143,6.609214463,4.825910853,4.920710587,5.93462961,4.758749274,6.027796476,5.210032452
AFFX-r2-Bs-phe-3_at,6.833570381,6.775366091,7.617956214,9.401390391,8.709316553,7.660585462,7.321849714,8.190104789,7.725285887,6.044531268,7.668888157,9.019688212,6.236565266,7.248361815,7.093404626,9.050828681,7.756708911,6.680478196,8.489863104,7.929954376,6.575215301,6.583409222,6.766997841,6.415914955,7.418240845,6.530440214
AFFX-r2-Bs-thr-3_s_at,6.2599638,6.412474867,7.715034394,9.29796656,8.633570795,7.065015405,7.008957159,8.188161207,7.392216393,5.817408735,7.673037057,8.858851955,5.83305481,7.453098265,6.933812813,9.168768096,7.762213159,6.008075813,8.151275666,8.17760009,5.805737197,6.119417911,6.677335319,5.815919975,7.224826236,6.230087669
AFFX-HUMISGF3A/M97935_3_at,7.257707677,7.552762084,8.22008012,7.364990235,7.722544706,7.174571159,7.508403325,8.444127753,7.978345251,8.271599511,6.225350195,8.197869082,7.7798015,8.11632749,7.971707107,6.327222243,8.089942491,7.674710387,8.227054771,8.335431478,7.476868679,7.853371776,8.438496244,6.929027414,8.361848466,8.37346138
AFFX-HUMRGE/M10098_5_at,9.489508806,8.777046614,9.214332393,9.635627715,9.444028137,8.949585811,8.806409087,9.118268942,8.773291713,9.374353684,9.602220284,9.059761638,8.800219442,9.361360442,8.754050281,9.451716692,8.738446958,8.830294442,9.374005644,8.866652163,8.475579217,8.846496939,9.39877653,8.870733227,8.270576284,8.546266439
AFFX-HUMRGE/M10098_M_at,9.174298601,8.541436923,8.804370136,8.887279796,8.895369319,8.663179202,8.477578801,8.665182069,8.386104527,9.016403619,9.271905728,8.708193644,8.417417054,9.275463097,8.611848611,8.579735972,8.563083918,8.631646244,9.295480833,8.432201591,8.006367568,8.561344039,8.811398938,8.326855592,7.589436981,8.167011407
AFFX-HUMRGE/M10098_3_at,9.41090288,9.146942533,9.294414941,9.013777893,9.000964115,9.171329237,8.836054112,9.255055578,8.790786481,9.158267827,9.444969708,9.110950883,9.138608037,9.293329504,8.938662874,9.149145588,8.860839632,9.070940364,9.602132428,8.556510054,9.084187406,9.064944589,9.196403706,8.970775221,8.487063826,8.980763672
AFFX-HUMGAPDH/M33197_5_at,8.299957156,8.449406735,7.526986777,8.333967226,7.735083641,8.664491878,8.51061158,7.633418051,8.03676744,8.346879254,8.612066912,8.051085961,8.838537287,8.473366688,8.563828655,7.414994479,8.231828432,8.562262155,5.371567828,7.607431102,8.53666243,8.268731832,8.248529125,7.848465415,8.143081391,7.478508811
AFFX-HUMGAPDH/M33197_M_at,8.943636706,8.992296296,8.46465702,9.362992787,8.819428845,9.22057779,8.760923376,8.713253274,8.501957719,8.973782246,9.124172276,8.97492179,9.224598244,8.782108047,8.780510847,8.475871072,8.656485458,9.104890963,7.157891235,8.847546747,8.996032669,8.870339919,8.872641383,8.585580546,8.966994113,8.055951068
AFFX-HUMGAPDH/M33197_3_at,9.393378339,9.517825072,9.185699258,9.95038068,9.48438234,9.588680913,8.948339042,9.381019417,8.914249713,9.424967764,9.559778191,9.466616913,9.581952203,9.252038782,8.99745651,9.265595309,8.991873369,9.52352936,9.484017329,9.572522126,9.332593402,9.322748991,9.16994537,8.981266773,9.537079683,8.790329992
AFFX-HSAC07/X00351_M_at,7.893385489,7.765611489,7.295599378,7.427738841,7.128094903,7.724888439,7.838658723,7.668000203,7.503234502,7.675963549,8.046293161,7.539930903,7.884501207,8.163542242,7.951066252,6.895480248,7.843534863,7.892564103,5.867317554,7.582432943,7.635255576,7.465827018,7.619724214,7.863189798,7.79683924,7.334525154
AFFX-HSAC07/X00351_3_at,9.473926966,9.571358869,9.630437902,9.231886576,8.911772598,9.525953709,8.922058119,9.728205163,8.947975108,9.62677839,9.732236491,8.934151993,9.51426728,9.255686517,9.006999448,9.06701258,9.0433881,9.476704319,10.02050585,9.311750094,9.381895849,9.353279869,9.268731914,9.20438266,9.563739958,9.291846624
AFFX-M27830_5_at,9.118608781,8.908045382,8.86208701,8.862908295,8.568399482,8.846381824,8.576593535,8.46398227,8.450967915,8.612757884,9.388319179,8.472593236,8.634922892,9.331318299,8.686260633,8.78653307,8.561133519,8.416997095,9.671523969,8.094958252,8.609006355,8.566040497,8.794840079,8.404002097,8.083297744,8.589699882
AFFX-hum_alu_at,9.651243406,9.707636889,9.825725991,10.12240619,9.653531487,9.641707118,8.886492117,9.892699571,8.911678239,9.780370315,9.868077968,9.609364783,9.684927232,9.527353065,8.94009211,9.962925588,9.0383176,9.656493066,10.40776881,9.932667642,9.593948344,9.6154054,9.559827546,9.299778801,9.675858958,9.290795302
1405_i_at,8.666147537,8.268424092,7.88641969,8.216439388,7.666643383,9.221359438,8.031385331,7.893646698,8.07673283,7.736874621,8.67888678,9.138887334,7.929270517,8.330526207,7.558933975,8.649571419,8.139965625,8.53032657,8.98597107,8.95149192,8.194560742,7.864880805,7.101511213,7.858060889,8.297568442,8.75606835
200002_at,8.504513138,8.599675997,8.465752518,9.075299269,8.585244286,8.835225015,8.378574595,8.696259455,8.279240524,8.397215249,8.868286587,9.044120485,8.447478631,8.648116185,8.378597569,9.277419413,8.379584928,8.399647628,8.447993156,9.134301306,8.269090742,8.41900688,8.340432146,8.395725877,8.506799362,8.260983946
200003_s_at,9.323427957,9.389130701,9.569789464,10.14076278,9.660957287,9.438789822,9.034795799,9.71877113,9.157308725,9.290610746,9.538766036,9.726690706,9.249445694,9.439537563,9.076008659,10.04640971,9.227492431,9.34593713,9.704194796,10.05319552,9.114137794,9.124717122,9.31164166,9.142575318,9.569272766,9.230927006
200004_at,8.966471017,8.85546381,8.464593781,9.202479557,9.003242399,9.233959238,8.632323824,8.89094745,8.483160597,8.737051352,8.815384844,8.842705588,8.960929844,8.785891201,8.706887503,8.685838317,8.610756392,8.784361284,8.677337303,8.711229199,8.915459114,8.676467864,8.520926215,8.951699168,8.719595115,8.772052441
200006_at,9.248377693,9.287255116,9.009129531,9.489418032,9.126969633,9.426886206,8.888770541,9.122055457,8.791318789,9.214083358,9.192227317,9.258835254,9.392453574,9.00989965,8.93087776,8.978597452,8.819458411,9.233373071,8.84530198,9.163248764,9.193214559,9.070020274,9.01833205,8.906095219,9.12732826,8.857685907
200007_at,8.684028791,8.523175263,8.184541647,8.559811971,8.385876487,8.499314313,8.282837013,8.314342343,8.161631913,8.538856831,8.457549338,8.516552987,8.611939576,8.48510379,8.323826865,8.526509658,8.278580609,8.460093599,8.006967388,8.554951297,8.446899474,8.314170844,8.338520968,8.327581123,8.395500021,8.233901467
200009_at,8.618232384,8.573346656,8.732288442,9.082200135,8.35791606,8.790969019,8.44634145,8.947012644,8.39260455,8.656520257,8.334639608,8.774405747,8.800987717,8.580731212,8.478140464,8.44024735,8.417483347,8.831186079,8.039770106,8.91560683,8.652807413,8.614102093,8.553139318,8.568798437,8.871673729,8.082031472
200010_at,8.612467007,8.652667695,8.089114308,8.822101045,8.49236757,8.689430742,8.370130665,8.67626318,8.29404964,8.201440808,8.703373959,8.868441437,8.304371189,8.688571758,8.6083493,9.338082539,8.640790403,8.501917104,7.477377973,8.791972379,8.28114169,8.367996885,8.345787836,8.6224357,8.782921024,8.427312247
200012_x_at,9.000187081,8.965283467,8.583093285,9.459923302,8.983740856,8.986559117,8.545877825,9.174516284,8.53196357,8.717649318,9.190545745,9.138887334,8.852779321,9.016707078,8.696510239,9.498754676,8.688470653,8.842012076,9.52589536,9.188248126,8.882558267,8.764006393,8.601754904,8.794264165,8.856717907,8.533971643
200013_at,8.566592694,8.586663282,7.907357217,8.253071383,8.020106094,8.368600371,8.265341476,8.208981828,8.075395994,8.380273207,8.632733715,8.259069921,8.461278709,8.393623445,8.197511206,8.607783158,8.09440897,8.334207414,7.890245652,8.092178224,8.430327258,8.327460238,8.401041325,8.339285878,8.327556947,8.157571052
200014_s_at,8.290142015,8.347187482,8.024600336,8.190964312,8.102041318,8.534384569,8.057820849,8.193510815,7.778169598,8.102556149,8.098916363,8.362455673,8.482125443,8.291847217,8.194671196,8.206774592,7.965719169,8.382014729,7.782223516,8.314807693,8.306225216,8.233689046,8.082464038,7.985552428,7.892153157,8.185684615
200015_s_at,8.681147091,8.559083415,8.330019884,8.197015475,8.251063848,8.538093256,8.471442404,8.407177412,8.285109799,8.461701623,8.276012953,8.197924128,8.781801091,8.371334703,8.521344563,8.125216701,8.321689126,8.534109304,8.458970682,8.100889558,8.679771119,8.573195382,8.421012633,8.420197592,8.367300102,8.632662441
