Probe_Set_ID,ND_195,ND_199,ND_216,ND_237,ND_239,ND_251,ND_269,ND_317
AFFX-BioDn-3_at,8.37357683,7.850064573,7.92746865,8.478473153,7.375569012,8.926650321,8.526767214,7.604197026
AFFX-CreX-5_at,9.006300674,8.349271458,8.433180949,8.981304495,7.900266037,9.500596628,9.06817755,8.076049091
AFFX-CreX-3_at,9.335394685,8.803769653,8.853022364,9.329109588,8.430850682,9.845413425,9.4719736,8.565907162
AFFX-DapX-M_at,6.781284615,7.574815125,6.517375808,7.648263031,7.031122693,7.326597184,6.423409288,5.385870264
AFFX-DapX-3_at,8.231988049,9.093514378,8.178442361,9.352820356,8.345217927,9.046031606,8.854136746,6.607190581
AFFX-LysX-3_at,7.2382813,8.622939633,6.937216989,8.603976209,7.364800307,8.040350227,7.696621647,5.811140993
AFFX-PheX-M_at,6.26206404,7.98074202,6.059123196,8.058042456,6.862339415,7.043247248,6.597827598,4.775756487
AFFX-PheX-3_at,7.076738271,8.668144473,6.679724806,8.886298557,7.347686224,7.954969005,7.493484273,5.48438191
AFFX-ThrX-3_at,7.143301597,8.560041931,7.015263487,8.762176509,7.339083047,7.821763408,7.635786861,5.110178924
AFFX-r2-Ec-bioD-5_at,8.25426877,7.838619303,7.832410927,8.510692105,7.261786732,8.897190053,8.41690866,7.560601163
AFFX-r2-Ec-bioD-3_at,8.5668211,8.14786713,8.209090701,8.717321922,7.572708725,9.14969825,8.625024652,7.784847697
AFFX-r2-P1-cre-5_at,9.522263736,9.207295742,9.169882894,9.683507741,8.684198044,10.16854051,9.777646513,8.880029117
AFFX-r2-P1-cre-3_at,9.697956732,9.434491416,9.378233335,9.958226653,8.886796207,10.3140397,9.868005442,9.146025826
AFFX-r2-Bs-dap-M_at,7.061763091,7.863843481,6.775251929,8.029823644,7.282829906,7.551869766,6.749111186,5.548686904
AFFX-r2-Bs-dap-3_at,8.394573478,9.145599164,8.390109539,9.418873712,8.409429791,9.25308372,9.0556262,6.794586581
AFFX-r2-Bs-lys-3_at,6.475278622,7.864804003,6.330255522,7.929666493,6.820234681,7.366192272,6.651313442,4.81866736
AFFX-r2-Bs-phe-M_at,6.420157781,7.976973085,6.103005922,8.072248937,6.851925394,7.133216143,6.609214463,4.758749274
